「한국인사행정학회보」 제13권 제3호(2014)

〈표 7〉 응답자특성 유형별 공정성 저해요인(1, 2순위)  
(단위: 명, %)

| 응답수 | 직렬 구분 | 응답수 | 인사권자의 자의적 권한 행사 | 인사위원회의 역할 미흡 | 인사규정 및 시스템의 불합리 | 청탁 등 비리 관행 | 인사부서의 전문성 부족 | 개인별 객관적 실적 평가의 어려움 | 기타 | 합계 |
|---|---|---|---|---|---|---|---|---|---|---|
| | 전체 | 832 | 40.2 | 5.9 | 6.0 | 11.8 | 3.4 | 31.7 | 1.0 | 100.0 |
| 1순위 | 일반직(행정직) | 615 | 38.7 | 6.0 | 6.0 | 11.7 | 3.2 | 33.7 | 0.8 | 100.0 |
| | 일반직(기술직) | 144 | 46.2 | 4.9 | 7.7 | 9.1 | 3.5 | 27.3 | 1.4 | 100.0 |
| | 연구·지도직 | 6 | 33.3 | 16.7 | 0.0 | 16.7 | 0.0 | 16.7 | 16.7 | 100.0 |
| | 별정직 | 4 | 50.0 | 0.0 | 0.0 | 0.0 | 0.0 | 50.0 | 0.0 | 100.0 |
| | 기능직 | 59 | 42.4 | 6.8 | 3.4 | 20.3 | 5.1 | 22.0 | 0.0 | 100.0 |
| | 8급 이하 | 201 | 38.8 | 5.5 | 7.0 | 11.4 | 4.5 | 31.8 | 1.0 | 100.0 |
| | 6~7급 | 586 | 39.9 | 6.1 | 5.8 | 12.4 | 3.2 | 31.7 | 0.9 | 100.0 |
| | 5급 이상 | 42 | 52.4 | 4.8 | 4.8 | 4.8 | 0.0 | 31.0 | 2.4 | 100.0 |
| 2순위 | 전체 | 832 | 16.3 | 15.9 | 13.8 | 15.8 | 6.3 | 30.5 | 1.3 | 100.0 |
| | 일반직(행정직) | 615 | 15.1 | 17.5 | 15.8 | 15.8 | 5.1 | 29.5 | 1.4 | 100.0 |
| | 일반직(기술직) | 144 | 18.0 | 12.2 | 9.4 | 16.5 | 7.9 | 34.5 | 1.4 | 100.0 |
| | 연구·지도직 | 6 | 66.7 | 0.0 | 0.0 | 16.7 | 0.0 | 16.7 | 0.0 | 100.0 |
| | 별정직 | 4 | 25.0 | 0.0 | 25.0 | 50.0 | 0.0 | 0.0 | 0.0 | 100.0 |
| | 기능직 | 59 | 19.3 | 12.3 | 5.3 | 12.3 | 15.8 | 35.1 | 0.0 | 100.0 |
| | 8급 이하 | 201 | 18.6 | 14.1 | 11.6 | 15.6 | 7.5 | 30.7 | 2.0 | 100.0 |
| | 6~7급 | 586 | 15.8 | 15.2 | 14.2 | 16.3 | 6.0 | 31.4 | 1.1 | 100.0 |
| | 5급 이상 | 42 | 12.5 | 35.0 | 20.0 | 10.0 | 5.0 | 17.5 | 0.0 | 100.0 |

다음 응답자특성 유형별로 인사공정성 저해요인에 대한 1순위 조사결과를 보면, 대부분의 직렬에서 ‘인사권자의 자의적 권한행사’를 지적하고 있는 가운데 일반직(기술직)과 기능직의 지적정도가 상대적으로 높게 나타나고 있다. 직급별로도 모두 ‘인사권자의 자의적 권한행사’를 1순위로 지적하고 있지만, 5급 이상 간부직과 여타 직원간 인식정도는 상대적 차이를 보여주고 있다. 그리고 인사공정성 저해요인에 대한 2순위 조사결과에 대하여 응답자특성 유형별로 비교하여 보면, 직렬별로는 일반직(기술직)과 기능직에서 ‘개인별 객관적 실적 평가의 어려움’이 상대적으로 높게 나타났다. 한편 직급별로는 5급 이상에서 ‘인사위원회의 역할 미흡’과 ‘인사규정 시스템의 불합리’가 상대적으로 높게 나타나, 직급별 인사관련 환경요소에 차이가 있음을 보여준다.

188 Korean Public Personnel Administration Review
