리츠-스폴딩(Ritz-Spaulding) 투입산출모형을 활용한 화물연대파업의 경제적 파급효과 분석

에 따른 전방연계효과가 2차 연관 산업의 수요 감소라는 후방연계효과로 확산되면서 전방위적인 국민경제적 파급효과를 미칠 수 있음을 시사하는 것이다.

<표 6> 화물연대파업의 산업별 1차·2차 파급효과

(단위: 백만원, %)

| 산업 | 1차 파급효과 |  | 2차 파급효과 |  |
| --- | --- | --- | --- | --- |
|  | 피해액 | 총산출감소율 | 피해액 | 총산출감소율 |
| 농림수산 | 283,276 | (21) | 816,602 | (21) |
| 광업 | 113,214 | (32) | 239,224 | (33) |
| 음식료품 | 1,130,106 | (6) | 2,764,361 | (6) |
| 섬유 및 가죽제품 | 569,205 | (13) | 1,442,728 | (14) |
| 목재 및 종이, 인쇄 | 448,705 | (16) | 1,011,165 | (17) |
| 석탄 및 석유제품 | 203,697 | (25) | 495,870 | (29) |
| 화학제품 | 1,523,936 | (3) | 3,529,151 | (4) |
| 비금속광물제품 | 890,757 | (8) | 1,975,513 | (10) |
| 1차 금속제품 | 852,140 | (9) | 1,992,704 | (9) |
| 금속가공제품 | 700,623 | (11) | 1,847,260 | (11) |
| 컴퓨터, 전자 및 광학기기 | 980,188 | (7) | 2,604,937 | (7) |
| 전기장비 | 483,398 | (15) | 1,315,829 | (15) |
| 기계 및 장비 | 684,011 | (12) | 1,791,316 | (12) |
| 운송장비 | 1,190,723 | (5) | 3,338,266 | (5) |
| 기타 제조업 제품 | 177,262 | (26) | 474,979 | (30) |
| 제조업가공 및 산업용 장비수리 | 323,554 | (19) | 871,832 | (20) |
| 전력, 가스 및 증기 | 80,560 | (33) | 246,153 | (32) |
| 수도, 폐기물 및 재활용 | 244,530 | (22) | 543,324 | (26) |
| 건설업 | 1,415,356 | (4) | 4,313,232 | (3) |
| 도소매 및 상품중개 | 2,636,422 | (2) | 5,780,723 | (2) |
| 운송서비스 | 404,464 | (17) | 936,840 | (18) |
| 음식점 및 숙박업 | 732,504 | (10) | 2,378,928 | (8) |
| 정보통신 및 방송업 | 301,932 | (20) | 918,422 | (19) |
| 금융 및 보험업 | 161,394 | (29) | 562,142 | (25) |
| 부동산서비스 | 145,653 | (30) | 537,254 | (27) |
| 전문, 과학 및 기술 서비스업 | 491,353 | (14) | 1,508,399 | (13) |
| 사업지원서비스업 | 223,333 | (23) | 591,585 | (24) |
| 공공행정, 국방 및 사회보장 | 169,447 | (28) | 529,236 | (28) |
| 교육서비스업 | 176,505 | (27) | 622,603 | (23) |
| 보건 및 사회복지 서비스업 | 353,417 | (18) | 1,169,034 | (16) |
| 예술, 스포츠 및 여가관련 | 116,141 | (31) | 379,999 | (22) |
| 기타 서비스업 | 211,361 | (24) | 683,380 | (21) |
| 기타 | 13,840 | (34) | 49,788 | (19) |
| 화물연대파업 물류산업 | 11,936,262 | (1) | 12,143,004 | (1) |
| 합계 | 30,369,270 | 0.80 | 60,405,782 | 1.59 |

주 1) 괄호안의 수치는 전체 산업에서 해당 산업의 순위를 의미함

- 117 -
