상담학연구

표 3. 연구 참여자의 일반적인 특성

| 특성 | 분류 | 실험집단(n=12) | 통제집단(n=12) |
| :--- | :--- | :--- | :--- |
| | | 남자 | 여자 | 남자 | 여자 |
| 연령 | 23세 이하 | 3 | 2 | 3 | 3 |
| | 24-26세 | 3 |  | 1 | 1 |
| | 27-29세 |  | 4 | 1 | 1 |
| | 30-32세 | 2 |  | 1 | 1 |
| | 33-35세 | 1 |  |  |  |
| 직업 | 공무원/사회복지 | 2 | 2 | 1 |  |
| | 회사원/영업/기술직 | 1 |  | 2 | 1 |
| | 성직자/교수/교사/강사 |  | 3 | 2 | 4 |
| | 학생 | 2 | 3 | 2 |  |
| | 무직/실업 | 1 | 1 | 1 | 1 |
| | 기타 |  |  | 1 | 1 |
| 학력 | 고졸 |  | 1 | 2 | 4 |
| | 전문대졸 | 4 | 3 | 1 | 2 |
| | 4년제졸 | 1 | 2 | 3 |  |
| | 대학원졸 | 1 |  |  |  |
| 월평균 소득 | 0-70만원 | 1 | 3 | 2 | 5 |
| | 70-100만원 |  |  | 2 |  |
| | 100-150만원 |  | 2 |  |  |
| | 150-200만원 | 4 | 1 | 1 | 1 |
| | 200-300만원 |  |  | 1 |  |
| | 300만원 이상 | 1 |  | 1 | 1 |
| 종교 | 기독교 | 1 | 3 | 2 | 1 |
| | 불교 | 3 | 3 | 2 | 1 |
| | 카톨릭 |  | 1 |  | 1 |
| | 기타 | 2 | 2 | 3 | 3 |
| | 원하지 않음 |  |  |  | 1 |
| 원하는 자녀수 | 2명 | 2 | 5 | 4 | 4 |
| | 3명 | 3 | 1 | 2 | 1 |
| | 4명 | 1 |  |  |  |
| | 거의 없음 | 1 |  | 1 | 3 |
| 행복감 | 가끔 있음 | 3 | 4 | 5 | 3 |
| | 자주 있음 |  | 2 |  |  |
| | 빈번함 | 2 | 2 |  | 1 |
| | 매우 부정적 |  | 1 |  |  |
| 결혼에 대한 부모님 생각 | 부정적 |  | 3 | 1 | 2 |
| | 중립적 | 4 | 1 | 1 | 2 |
| | 긍정적 | 2 | 1 | 4 | 1 |
| 교제기간 | 1년 미만 | 3 |  | 3 |  |
| | 1-2년 | 1 | 2 |  | 2 |
| | 3-4년 |  |  | 1 | 1 |

- 1198 -

www.kci.go.kr
