130 한국도자학연구

| 꼼은들 | 토련기 1 | 전동물레 2 | 전기가마 1, 장작가마 2 | 300평 | 옹기제품 | 5 |
| --- | --- | --- | --- | --- | --- | --- |
| 고아방 | 토련기 1 | 전동물레 3 | 가스가마 1 | 30평 | 백자, 분청 | 1 |
| 나비와 바다 | 토련기 1 | 전동물레 4 | 가스가마 1 | 50평 | 생활자기 | 1 |
| 도예시선달토끼 | 토련기 1 | 전동물레 2 | 전기가마 1 | 180평 | 생활자기 | 1 |
| 민도방 | 토련기 1 | 전동물레 2 | 가스가마 1, 장작가마 1 | 40평 | 분청, 생활자기 | 1 |
| 산경도예 | 토련기 1 | 전동물레 6 | 석유가마 2, 장작가마 1 | 3500평 | 생활자기 | 2 |
| 삼다도예 |  | 전동물레 | 가스가마 | 평 | 생활자기 |  |
| 아라도예 | 토련기 1 | 전동물레 5 | 전기가마 1, 가스가마 1 | 40평 | 생활자기 | 2 |
| 아뜨리에 Farm | 토련기 1 | 전동물레 4 | 전기가마 1, 가스가마 1 | 30평 | 백자 생활자기 | 1 |
| 제주요 | 토련기 2 | 전동물레 5 | 전기가마 1, 가스가마 1 | 500평 | 생활자기 | 4 |
| 테라 | 토련기 2 | 전동물레 1 | 가스가마 1 | 15평 | 생활자기 | 1 |
| 도예 뜰 | 없음 | 전동물레 1 | 전기가마 1 | 7평 | 생활자기 | 1 |
| 선도예공방 | 없음 | 전동물레 3 | 전기가마 1 | 50평 | 생활자기 | 1 |
| 심헌도예원 | 토련기 3 | 전동물레 2 | 전기가마 2, 가스가마 1 | 50평 | 조형도자, 생활자기 | 2 |
| 연도예 | 없음 | 전동물레 1 | 가스가마 1 | 50평 | 조형도자, 생활자기 | 1 |
| 인다라도예공방 | 토련기 1 | 전동물레 2 | 전기가마 1, 가스가마 1 | 40평 | 조형도자, 생활자기 | 1 |
| 외산도예 | 토련기 1 | 전동물레 5 | 가스가마 1 | 25평 | 생활자기 | 1 |
| 제주마 미술연구소 | 없음 | 전동물레 4 | 전기가마 1, 가스가마 2 | 60평 | 조형도자, 상품, 생활자기 | 1 |
| 제주용방 | 토련기 2 | 전동물레 2 | 전기가마 1, 가스가마 1 | 25평 | 관광기념품, 생활자기 | 1 |
| 콘영도예공방 | 토련기 1 | 전동물레 1 | 전기가마 1 | 30평 | 말캐릭터 상품, 조형도자 | 1 |
| Clay Art 스튜디오 | 토련기 1 | 전동물레 4 | 가스가마 1 | 20평 | 조형도자, 생활자기 | 1 |
| 토브도예공방 | 토련기 1 | 전동물레 1 | 전기가마 1, 가스가마 1 | 23평 | 생활자기 | 1 |
| 현 도예공방 | 없음 | 전동물레 1 | 전기가마 1 | 27평 | 조형, 생활자기 | 1 |
| 산하도예 | 토련기 1 | 전동물레 5 | 전기가마 1, 가스가마 1 | 100평 | 체험, 생활자기 | 3 |
| 성지도예 | 토련기 2 | 전동물레 6 | 전기가마 1, 가스가마 1 | 200평 | 체험, 상품, 생활자기 | 2 |
| 소앵공방 | 토련기 1 | 전동물레 3 | 전기가마 2 | 20평 | 체험, 상품, 생활자기 | 2 |
| 일출랜드아트센터 | 토련기 1 | 전동물레 6 | 전기가마 2, 가스가마 1 | 100평 | 관광기념품, 생활자기 | 5 |

제품생산을 위한 설비 및 시설현황을 업체별로 살펴보면 원료수급은 경상도의 도재상을 통해 주로 수급하고 있으며 일부 업체에선 서울, 경기 지역의 도재상을 통해 원료를 수급하고 있다. 이는 운송요금의 부담으로 거리상 가장 가까운 지역에서 원료를 수급함으로서 비용 부담을 줄이려는 이유 때문이다. 또한 한 제주점토를 이용하는 경우 점토생산을 하는 도재상이 따로 없어 업체별로 자체 제조하여 사용하거나 판매가 이루어지는 제주용기마을 공방을 통해 미흡하나마 해결하고 있는 실정이다.

원료수급의 문제는 제품의 질을 결정하는 중요한 요인이며 이런 점으로 인해 제품의 다양화를 이루지 못하는 문제를 발견할 수 있다. 업체마다 원료처리 및 점토를 생산할 수 있는 조합시설이 미흡하여 재료의 질적 일관성을 유지하기 어려운 모습을 보이고 있으며 업체별 제품의 특성과 독창성이 없는 원인이 되고 있다.
