안전의식이 건설업재해에 미치는 실증적 영향분석 : 충북지역을 중심으로 | 169

〈표 3〉 산업재해발생빈도에 따른 위계적 다중회귀분석 결과

| 변수 | 모형 1 | 모형 2 | 모형 3 |
| --- | --- | --- | --- |
|  | B | S.E | β | t | B | S.E | β | t | B | S.E | β | t |
| (상수) | 3.372 | .458 |  | 7.361*** | 4.266 | .579 |  | 7.368*** | 4.294 | .588 |  | 7.301*** |
| 성별 | .240 | .208 | .079 | 1.156 | .210 | .204 | .069 | 1.025 | .171 | .198 | .058 | .864 |
| 연령 | −.011 | .007 | −.108 | −1.605 | −.012 | .007 | −.121 | −1.816+ | −.010 | .007 | −.102 | −1.556 |
| 학력(고졸) | .083 | .229 | .040 | .362 | .170 | .228 | .082 | .747 | .202 | .224 | .098 | .901 |
| 학력(대졸 이상) | .252 | .252 | .126 | 1.001 | .318 | .250 | .160 | 1.273+ | .253 | .247 | .128 | 1.022 |
| 직업(공무원) | .450 | .195 | .189 | 2.308** | .378 | .201 | .159 | 1.880 | .436 | .196 | .187 | 2.226* |
| 직업(사업주) | −.037 | .156 | −.016 | −.234 | .046 | .155 | .021 | .295 | .172 | .154 | .077 | 1.115 |
| 안전관리시스템(사업장) |  |  |  |  | −.250 | .090 | −.197 | −2.773** | −.047 | .090 | −.037 | −.517 |
| 안전관리시스템(정부) |  |  |  |  | −.082 | .087 | −.064 | −.879 | −.001 | .087 | .000 | −.007 |
| 안전관리시스템(사업주) |  |  |  |  | −.001 | .087 | .000 | −.007 | .058 | .086 | .047 | .679 |
| 안전관리시스템(노동자) |  |  |  |  | .056 | .077 | .048 | .728 | .136 | .081 | .118 | 1.680+ |
| 전반적 안전의식 |  |  |  |  | −.202 | .086 | −.162 | −2.347* | .216 | .128 | .102 | 1.691+ |
| 산업재해 경험 |  |  |  |  |  |  |  |  |  |  |  |  |
