는 한국 역사에 있어 가장 유명한 문학가의 이름을 제공한다는 것을 비롯하여
여42 그리피스의 질문에 회신하는 내용이 포함되어 있다.

〈표 2〉 주요 발신자별 작성시기와 수량

| 발신자               | 작성시기       | 편지 수량 |
|----------------------|----------------|-----------|
| Allen, Horace Newton | 1888~1890      | 8         |
| Allen, Horace Newton | 1895~1920      | 14        |
| Appenzeller, Alice   | 1911~1921      | 25        |
| Appenzeller, Henry, G | 1922~1927      | 13        |
| Appenzeller, Henry, D | 1890~1895      | 3         |
| Appenzeller, Henry, D | 1912~1926      | 15        |
| Cynn, Hugh H.        | 1922           | 1         |
| Fletcher, A. G.      | 1927           | 4         |
| Gale, James. S.      | 1895           | 1         |
| Gale, James. S.      | 1900~1921      | 6         |
| Gilmore, George W.   | 1893~1919      | 9         |
| Hulbert, Homer B.    | 1892~1897      | 12        |
| Hulbert, Homer B.    | 1900~1906      | 12        |
| Hulbert, Homer B.    | 1911~1917      | 3         |
| Ito, Hirobumi        | 1908           | 3         |
| Jaisohn, Philip      | 1919~1922      | 6         |
| Kim, Henry C.        | 1914~1920      | 6         |
| Ludlow, A. D.        | 1926           | 1         |
| Moffet, Samuel A.    | 1901, 1915     | 2         |
| Morris, C. D.        | 1911~1916      | 4         |
| Morris, Louise       | 1902, 1910~1911| 3         |
| McCune, George S.    | 1921           | 1         |

42 Box 60, Folder 20, Ye Cha Yun to William Elliot Griffis, Oct. 3, 1892. 편지에는 구체적인 이름은 언급하지 않았다.

155
